B2I1N1,ASR-8113 ,http://myfarm.highyieldag.com/getcsv/HphickbrtNE7/0,N
B2I1N2,ASR-8114 ,http://myfarm.highyieldag.com/getcsv/S6gsPe1DLqhW/0,N
B2I1N3,ASR-8119 ,http://myfarm.highyieldag.com/getcsv/7ceu4sxFIVDQ/0,N
B2I2N2,ASR-8151 ,http://myfarm.highyieldag.com/getcsv/CluYOvWKqSx3/0,N
B2I3N1,ASR-8147 ,http://myfarm.highyieldag.com/getcsv/sYncA47V1eMm/0,N
B2I3N2,ASR-8112 ,http://myfarm.highyieldag.com/getcsv/bA94ua0rePVY/0,N
B2I3N3,ASR-8158 ,http://myfarm.highyieldag.com/getcsv/SqXE6O4_9CMR/0,N
B2I3N5,ASR-8106 ,http://myfarm.highyieldag.com/getcsv/K6eOtEurV4h8/0,N
B2I5N2,ASR-8140 ,http://myfarm.highyieldag.com/getcsv/a8NmZoM7wD3Y/0,N
B3I1N1,ASR-8144 ,http://myfarm.highyieldag.com/getcsv/Jegpmo8C9kZ7/0,N
B3I1N2,ASR-8127 ,http://myfarm.highyieldag.com/getcsv/JVbQKWFqCaUk/0,N
B3I1N3,ASR-8138 ,http://myfarm.highyieldag.com/getcsv/MVrAcKvqpQOH/0,N
B3I2N2,ASR-8118 ,http://myfarm.highyieldag.com/getcsv/oN9WZfRtSEUd/0,N
B3I3N1,ASR-8108 ,http://myfarm.highyieldag.com/getcsv/LsAOq2FuwBhx/0,N
B3I3N2,ASR-8103 ,http://myfarm.highyieldag.com/getcsv/fvyKVh3jnUJe/0,N
B3I3N3,ASR-8117 ,http://myfarm.highyieldag.com/getcsv/CA60dsl3_Zxo/0,N
B3I3N5,ASR-8159 ,http://myfarm.highyieldag.com/getcsv/e81S2C5QKvhk/0,N
B3I5N2,ASR-8165 ,http://myfarm.highyieldag.com/getcsv/TKa-WvVlsC_o/0,N
B4I1N1,ASR-8153 ,http://myfarm.highyieldag.com/getcsv/nZ1mBezUkcOg/0,N
B4I1N2,ASR-8110 ,http://myfarm.highyieldag.com/getcsv/Jl8RyZnD-cUB/0,N
B4I1N3,ASR-8135 ,http://myfarm.highyieldag.com/getcsv/_sRzSM19JIBx/0,N
B4I2N2,ASR-8298 ,http://myfarm.highyieldag.com/getcsv/beGwxJaj_oFS/0,N
B4I3N1,ASR-8137 ,http://myfarm.highyieldag.com/getcsv/VjN-lmt8FKU0/0,N
B4I3N3,ASR-8111 ,http://myfarm.highyieldag.com/getcsv/bwqViopZ8Gug/0,N
B4I4N2,ASR-8115 ,http://myfarm.highyieldag.com/getcsv/Z4f3GuIO8zYB/0,N
B4I5N2,ASR-8148,http://myfarm.highyieldag.com/getcsv/-PA4iv0e3V59/0,N
B2I1N1,ASR-8141 ,http://myfarm.highyieldag.com/getcsv/SwcxnpT0y_J4/0,S
B2I1N2,ASR-8171 ,http://myfarm.highyieldag.com/getcsv/8q5pAVbIFQXJ/0,S
B2I1N3,ASR-8163 ,http://myfarm.highyieldag.com/getcsv/lRiJmq02y9rz/0,S
B2I2N2,ASR-8107 ,http://myfarm.highyieldag.com/getcsv/Q7vuSRFe-amk/0,S
B2I3N1,ASR-8154 ,http://myfarm.highyieldag.com/getcsv/XmxaOG3cpDtJ/0,S
B2I3N2,ASR-8125 ,http://myfarm.highyieldag.com/getcsv/_yUmMGZdjA8K/0,S
B2I3N3,ASR-8156 ,http://myfarm.highyieldag.com/getcsv/N0vnB-sG2ect/0,S
B2I3N5,ASR-8168 ,http://myfarm.highyieldag.com/getcsv/R8z6oHuQt3pe/0,S
B2I5N2,ASR-8146 ,http://myfarm.highyieldag.com/getcsv/UVJySDuspTWG/0,S
B3I1N1,ASR-8173 ,http://myfarm.highyieldag.com/getcsv/k4DAR7X8Q9eH/0,S
B3I1N2,ASR-8174 ,http://myfarm.highyieldag.com/getcsv/Fmne2yMl7zqk/0,S
B3I1N3,ASR-8301 ,http://myfarm.highyieldag.com/getcsv/12iz9I7cQLuP/0,S
B3I2N2,ASR-8164 ,http://myfarm.highyieldag.com/getcsv/hbgAnjCeW7_N/0,S
B3I3N2,ASR-8129 ,http://myfarm.highyieldag.com/getcsv/olJcypF-Gau0/0,S
B3I3N3,ASR-8130 ,http://myfarm.highyieldag.com/getcsv/BDhzcTkgOjf0/0,S
B3I3N5,ASR-8155 ,http://myfarm.highyieldag.com/getcsv/NAgK3okRS0VG/0,S
B3I5N2,ASR-8124 ,http://myfarm.highyieldag.com/getcsv/cU0ugfkx1hHW/0,S
B4I1N1,ASR-8167 ,http://myfarm.highyieldag.com/getcsv/wAOrv39elzoK/0,S
B4I1N2,ASR-8134 ,http://myfarm.highyieldag.com/getcsv/sNx4D1bJ9Hgk/0,S
B4I1N3,ASR-8149 ,http://myfarm.highyieldag.com/getcsv/eGpFTdmjtC2H/0,S
B4I2N2,ASR-8133 ,http://myfarm.highyieldag.com/getcsv/F0xfBySpksl7/0,S
B4I3N1,ASR-8157 ,http://myfarm.highyieldag.com/getcsv/_zhxUYe3-g1D/0,S
B4I3N2,ASR-8161 ,http://myfarm.highyieldag.com/getcsv/MWzSO5HJrxje/0,S
B4I3N3,ASR-8120 ,http://myfarm.highyieldag.com/getcsv/IRkz3lsSjX-2/0,S
B4I3N5,ASR-8152 ,http://myfarm.highyieldag.com/getcsv/hqkeOKUoRVmF/0,S
B4I5N2,ASR-8166 ,http://myfarm.highyieldag.com/getcsv/hZemyEapcbXw/0,S
